,lp_val_hit@1,lp_val_MRR,lp_test_hit@1,lp_test_MRR,val_hit@1_deg0+,val_hit@1_deg1+,val_hit@1_deg2+,val_hit@1_deg4+,val_hit@1_deg8+,val_hit@1_deg16+,country_val_microF1,country_test_microF1,country_test_macroF1
deepwalk | seed1,0.6066,0.7243,0.5996,0.7213,0.061,0.4636,0.5725,0.6425,0.668,0.6664,0.7746,0.7655,0.6877
node2vec p=1 q=0.5 | seed1,0.603,0.7229,0.5972,0.7197,0.0516,0.4598,0.5706,0.6437,0.6598,0.6635,0.7641,0.7611,0.6819
node2vec p=1 q=2 | seed1,0.596,0.7176,0.5989,0.7192,0.0892,0.4674,0.5763,0.6259,0.6536,0.648,0.7575,0.763,0.6789
node2vec p=0.25 q=0.25 | seed1,0.6035,0.7219,0.6102,0.7246,0.0469,0.4559,0.5706,0.6449,0.6824,0.6495,0.7549,0.7624,0.6811
rwr r=0.15 | seed1,0.586,0.7103,0.5852,0.7108,0.0704,0.4751,0.5401,0.6211,0.6588,0.6318,0.768,0.7642,0.6829
degcorr a=1 | seed1,0.6015,0.7151,0.5999,0.712,0.0563,0.4521,0.5458,0.6413,0.6824,0.6546,0.7628,0.7642,0.6854
triadic | seed1,0.6099,0.7283,0.614,0.7282,0.0516,0.4789,0.5611,0.6532,0.6793,0.6649,0.7654,0.763,0.6887
deepwalk | seed2,0.6015,0.7211,0.6008,0.7193,0.0469,0.4789,0.5553,0.652,0.6763,0.6451,0.7602,0.7584,0.6806
node2vec p=1 q=0.5 | seed2,0.5999,0.7194,0.5996,0.7204,0.0423,0.4751,0.563,0.6318,0.6691,0.6561,0.7588,0.7681,0.6938
node2vec p=1 q=2 | seed2,0.6078,0.7235,0.6066,0.7231,0.0469,0.4713,0.5687,0.6473,0.6824,0.6591,0.772,0.7617,0.6802
node2vec p=0.25 q=0.25 | seed2,0.6056,0.7223,0.6013,0.72,0.1033,0.4943,0.5668,0.6425,0.6824,0.6429,0.7667,0.7643,0.6765
rwr r=0.15 | seed2,0.586,0.7113,0.5905,0.7124,0.0516,0.4943,0.5496,0.6318,0.6434,0.6318,0.7628,0.7607,0.6662
degcorr a=1 | seed2,0.5999,0.7127,0.5881,0.7051,0.0563,0.4483,0.5401,0.6425,0.6721,0.6591,0.7549,0.7614,0.6731
triadic | seed2,0.6063,0.7245,0.6078,0.7235,0.061,0.4866,0.5725,0.6473,0.6752,0.6532,0.7654,0.7691,0.7078
