,lp_val_hit@1,lp_val_MRR,lp_test_hit@1,lp_test_MRR,val_hit@1_deg0+,val_hit@1_deg1+,val_hit@1_deg2+,val_hit@1_deg4+,val_hit@1_deg8+,val_hit@1_deg16+,country_val_microF1,country_test_microF1,country_test_macroF1
hetero-deepwalk|seed0,0.4613,0.6287,0.4531,0.624,0.4601,0.3908,0.4542,0.5012,0.4676,0.4485,0.6959,0.6792,0.3773
metapath U-A-U|seed0,0.4191,0.5884,0.4066,0.5811,0.4272,0.4023,0.4256,0.4513,0.4214,0.3969,0.6461,0.6486,0.3548
metapath U-U-A-U|seed0,0.5629,0.6977,0.5622,0.6947,0.277,0.4521,0.5706,0.595,0.6197,0.5655,0.7523,0.758,0.5652
metapath U-U-U-A-U|seed0,0.6234,0.7437,0.6145,0.7358,0.3286,0.5364,0.5859,0.6378,0.6763,0.6539,0.7969,0.7896,0.6383
U-A-U rare-artist a=1|seed0,0.4277,0.599,0.4246,0.5948,0.4648,0.4176,0.4332,0.4537,0.4378,0.3984,0.6959,0.6809,0.3994
hetero-deepwalk|seed1,0.4649,0.6319,0.4572,0.6249,0.4319,0.4444,0.4771,0.4667,0.4769,0.4595,0.6737,0.6794,0.3821
metapath U-A-U|seed1,0.4155,0.588,0.4179,0.587,0.4366,0.3755,0.4084,0.4489,0.4224,0.3969,0.633,0.6443,0.3449
metapath U-U-A-U|seed1,0.5699,0.703,0.5481,0.6857,0.338,0.4713,0.5706,0.5998,0.594,0.5891,0.772,0.7739,0.5736
metapath U-U-U-A-U|seed1,0.6298,0.7492,0.6214,0.739,0.2676,0.5134,0.5878,0.6698,0.6937,0.6546,0.8034,0.786,0.6393
U-A-U rare-artist a=1|seed1,0.4222,0.5907,0.4265,0.5926,0.446,0.4215,0.4427,0.4418,0.4132,0.405,0.7064,0.6856,0.4018
hetero-deepwalk|seed2,0.4682,0.6312,0.4498,0.6199,0.4413,0.41,0.4752,0.4905,0.4738,0.4632,0.6999,0.6827,0.3789
metapath U-A-U|seed2,0.4258,0.5954,0.4152,0.5865,0.4742,0.4215,0.4065,0.4632,0.4388,0.394,0.6579,0.6537,0.3551
metapath U-U-A-U|seed2,0.5656,0.6974,0.5471,0.6824,0.338,0.5287,0.5725,0.6033,0.6043,0.5545,0.7628,0.7576,0.5638
metapath U-U-U-A-U|seed2,0.6114,0.7354,0.613,0.7337,0.2911,0.5211,0.5802,0.6532,0.6578,0.6318,0.7864,0.7906,0.6284
U-A-U rare-artist a=1|seed2,0.4311,0.5966,0.4272,0.5953,0.4789,0.4291,0.4408,0.4656,0.4203,0.4065,0.709,0.6906,0.4009
