Paper ID,Paper Title,Topics
1-1,The Nucleus of a Multiprogramming System,OS History and Architecture
1-2,The UNIX Time-Sharing System,
1-3,Exokernel: An Operating System Architecture for Application-Level Resource Management,
1-4,HYDRA:The Kernel of a Multiprocessor Operating System,
1-5,The Performance of p-Kernel-Based Systems,
1-6,"StarOS, a Nlultiprocessor Operating System for  the Support of Task Forces",
1-7,Application Performance and Hexibility on Exokernel Systems,
1-8,On 𝜇-Kernel Construction,
1-9,seL4: Formal Veri cation of an OS Kernel,
1-10,"The Structure of the ""THE""-Multiprogramming System",
1-11,Unikernels: Library Operating Systems for the Cloud,
2-1,Rate Monotonic vs. EDF: Judgment Day,Scheduling
2-2,Real-Time Dynamic Voltage Scaling for Low-Power Embedded Operating System,
2-3,Lottery Scheduling: Flexible Proportional-Share Resource Management,
2-4,Stride Scheduling: Deterministic Proportional-Share Resource Management,
2-5,Arachne: Core-Aware Thread Management,
2-6,Implementing Lottery Scheduling: Matching the Specializations in Traditional Schedulers,
2-7,Microservices The Journey So Far and Challenges Ahead,
3-1,The Working Set Model for Program Behavior,Memory Management
3-2,WSCLoca - A Simple and Effective Algorithm for  Virtual Memory Management,
3-3,The Multics Virtual Memory: Concepts and Design,
3-4,"Practical, transparent operating system support for superpages",
3-5,Implementing Global Memory Management in a Workstation Cluster,
3-6,Machine-Independent Virtual Memory Management for Paged Uniprocessor and Multiprocessor Architect,
3-7,Virtual Memory Management in the VAX/VMS Operating System,
4-1,Implementing Lightweight Threads,"Threads, Events, 
Concurrency, 
Synchronization"
4-2,Why Events Are A Bad Idea,
4-3,Monitors: An Operating System Structuring Concept,
4-4,Experience with Processes and Monitors in Mesa,
4-5,DTHREADS: Efficient Deterministic Multithreading,
4-6,RCU Usage In the Linux Kernel: Eighteen Years Later,
4-7,Read Copy Update,
4-8,Scheduler Activations: Effective Kernel Support for the User-Level  Management of Parallelism,
4-9,"SEDA: An Architecture for WellConditioned, Scalable Internet Services",
4-10,Wait-Free Synchronization,
5-1,A Fast File System for UNIX,Storage and File Systems
5-2,F2FS: A New File System for Flash Storage,
5-3,Scale and Performance in a Distributed File System,
5-4,"Ceph: A Scalable, High-Performance Distributed File System",
5-5,The Google File System,
5-6,The Hadoop Distributed File System,
5-7,Windows Azure Storage: A Highly Available Cloud Storage Service with Strong Consistency,
5-8,BlueSky: A Cloud-Backed File System for the Enterprise,
5-9,Cumulus: Filesystem Backup to the Cloud,
5-10,Differential RAID: Rethinking RAID for SSD Reliability,
6-1,The Distributed V Kernel and its Performance for Diskless Workstations,Distributed Systems
6-2,The Sprite Network Operating System,
6-3,The LOCUS Distributed Operating System,
6-4,Experiences with the Amoeba Distributed Operating System,
6-5,DieCast: Testing Distributed Systems with an Accurate Scale Model,
6-6,"LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregation",
6-7,Medusa: An Experiment in  Distributed Operating System Structure,
6-8,The V Distributed System,
