networkx here = 3.6.1  (reference run used 3.3)
key                                             nx           pure-python             reference   match
n_nodes                                      26728                 26728                 26728   OK
n_edges                                      26377                 26377                 26377   OK
n_components                                  4104                  4104                  4104   OK
component_sizes_top20         [13903, 69, 30, 30,   [13903, 69, 30, 30,   [13903, 69, 30, 30,    OK
lcc_n_nodes                                  13903                 13903                 13903   OK
lcc_n_edges                                  16695                 16695                 16695   OK
cc2_n_nodes                                     69                    69                    69   OK
cc2_n_edges                                     80                    80                    80   OK
deg_min                                          1                     1                     1   OK
deg_max                                         59                    59                    59   OK
deg_mean                        1.9737354085603114    1.9737354085603114    1.9737354085603114   OK

ALL THREE CHANNELS AGREE
